YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,AIRLINE_NAME,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,ORIGIN_NAME,ORIGIN_CITY,ORIGIN_STATE,DESTINATION_AIRPORT,DESTINATION_NAME,DESTINATION_CITY,DESTINATION_STATE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
2015,1,5,1,WN,Southwest Airlines Co.,4657,N273WN,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,555,550,-5,345,715,707,-8
2015,1,5,1,US,US Airways Inc.,1754,N760US,RNO,Reno/Tahoe International Airport,Reno,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,615,608,-7,601,902,851,-11
2015,1,5,1,WN,Southwest Airlines Co.,3487,N390SW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,620,614,-6,255,825,812,-13
2015,1,5,1,WN,Southwest Airlines Co.,2200,N746SW,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,620,620,0,345,740,732,-8
2015,1,5,1,WN,Southwest Airlines Co.,4835,N221WN,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,630,629,-1,345,750,749,-1
2015,1,5,1,US,US Airways Inc.,474,N668AW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,635,627,-8,255,846,833,-13
2015,1,5,1,WN,Southwest Airlines Co.,3765,N784SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,700,659,-1,255,705,656,-9
2015,1,5,1,WN,Southwest Airlines Co.,3042,N490WN,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,715,711,-4,255,925,922,-3
2015,1,5,1,WN,Southwest Airlines Co.,458,N479WN,TUS,Tucson International Airport,Tucson,AZ,LAS,McCarran International Airport,Las Vegas,NV,730,729,-1,365,745,737,-8
2015,1,5,1,WN,Southwest Airlines Co.,3765,N784SW,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,740,737,-3,345,900,848,-12
